cp_id,case_id,person_id,role,narrative
CP-0386,CASE-0469,PERSON-0123,REPORTING_PERSON,Subject of enquiry in Physical Assault and Grievous Hurt Case at Bilaspur under IPC 323/325.
CP-0387,CASE-0326,PERSON-0125,WITNESS,Subject of enquiry in Threat and Extortion Racket in Bilaspur under IPC 384/386.
CP-0388,CASE-1133,PERSON-0082,ACCUSED,Subject of enquiry in Armed Robbery Incident at Delhi under IPC 392/397.
CP-0389,CASE-0163,PERSON-0568,ACCUSED,Subject of enquiry in Physical Assault and Grievous Hurt Case at Siliguri under IPC 323/325.
CP-0390,CASE-0928,PERSON-0183,ACCUSED,Subject of enquiry in Targeted Homicide Investigation in Kolkata under IPC 302/120B.
CP-0391,CASE-0291,PERSON-0910,PERSON_OF_INTEREST,Subject of enquiry in Intimidation and Witness Tampering at Mumbai under IPC 506.
CP-0392,CASE-0571,PERSON-0922,ASSOCIATE,Subject of enquiry in Physical Assault and Grievous Hurt Case at Durg under IPC 323/325.
CP-0393,CASE-0470,PERSON-0450,ACCUSED,Subject of enquiry in Threat and Extortion Racket in Mumbai under IPC 384/386.
CP-0394,CASE-0342,PERSON-0564,SUSPECT,Subject of enquiry in Threat and Extortion Racket in Mumbai under IPC 384/386.
CP-0395,CASE-0475,PERSON-0923,SUSPECT,Subject of enquiry in Kidnapping and Extortion Case at Raipur under IPC 363/364A.
CP-0396,CASE-0107,PERSON-0617,REPORTING_PERSON,Subject of enquiry in Digital Identity Theft and Financial Scam at Kolkata under IT Act 66D / IPC 420.
CP-0397,CASE-0361,PERSON-0326,WITNESS,Subject of enquiry in Commercial Fraud and Embezzlement Syndicate at Lucknow under IPC 420/406.
CP-0398,CASE-0964,PERSON-0995,PERSON_OF_INTEREST,Subject of enquiry in Digital Identity Theft and Financial Scam at Mumbai under IT Act 66D / IPC 420.
CP-0399,CASE-0344,PERSON-0272,SUSPECT,Subject of enquiry in Threat and Extortion Racket in Mumbai under IPC 384/386.
CP-0400,CASE-0401,PERSON-0648,REPORTING_PERSON,Subject of enquiry in Digital Identity Theft and Financial Scam at Delhi under IT Act 66D / IPC 420.
CP-0401,CASE-0158,PERSON-0099,SUSPECT,Subject of enquiry in Intimidation and Witness Tampering at Chennai under IPC 506.
CP-0402,CASE-0552,PERSON-0867,ASSOCIATE,Subject of enquiry in Commercial Fraud and Embezzlement Syndicate at Howrah under IPC 420/406.
CP-0403,CASE-1094,PERSON-0158,PERSON_OF_INTEREST,Subject of enquiry in Forged Documentation and Property Fraud in Ahmedabad under IPC 467/468/471.
CP-0404,CASE-1134,PERSON-0810,ACCUSED,Subject of enquiry in Nocturnal Commercial Burglary in Delhi under IPC 457/380.
CP-0405,CASE-0367,PERSON-0187,WITNESS,Subject of enquiry in Forged Documentation and Property Fraud in Bilaspur under IPC 467/468/471.
CP-0406,CASE-0383,PERSON-0282,SUSPECT,Subject of enquiry in Serial Asset and Vehicle Theft in Surat under IPC 379.
CP-0407,CASE-0667,PERSON-0906,ASSOCIATE,Subject of enquiry in Commercial Fraud and Embezzlement Syndicate at Bilaspur under IPC 420/406.
CP-0408,CASE-0558,PERSON-0556,SUSPECT,Subject of enquiry in Physical Assault and Grievous Hurt Case at Bilaspur under IPC 323/325.
CP-0409,CASE-1026,PERSON-0547,SUSPECT,Subject of enquiry in Digital Identity Theft and Financial Scam at Pune under IT Act 66D / IPC 420.
CP-0410,CASE-0807,PERSON-0169,ASSOCIATE,Subject of enquiry in Nocturnal Commercial Burglary in Mumbai under IPC 457/380.
CP-0411,CASE-0100,PERSON-0511,ASSOCIATE,Subject of enquiry in Digital Identity Theft and Financial Scam at Mumbai under IT Act 66D / IPC 420.
CP-0412,CASE-0271,PERSON-0278,WITNESS,Subject of enquiry in Armed Robbery Incident at Durg under IPC 392/397.
CP-0413,CASE-0753,PERSON-0618,ACCUSED,Subject of enquiry in Intimidation and Witness Tampering at Varanasi under IPC 506.
CP-0414,CASE-0948,PERSON-0282,PERSON_OF_INTEREST,Subject of enquiry in Intimidation and Witness Tampering at Pune under IPC 506.
CP-0415,CASE-0359,PERSON-0758,SUSPECT,Subject of enquiry in Threat and Extortion Racket in Kolkata under IPC 384/386.
CP-0416,CASE-0509,PERSON-0196,REPORTING_PERSON,Subject of enquiry in Serial Asset and Vehicle Theft in Siliguri under IPC 379.
CP-0417,CASE-1242,PERSON-0803,SUSPECT,Subject of enquiry in Kidnapping and Extortion Case at Pune under IPC 363/364A.
CP-0418,CASE-0138,PERSON-0417,ASSOCIATE,Subject of enquiry in Physical Assault and Grievous Hurt Case at Surat under IPC 323/325.
CP-0419,CASE-0002,PERSON-0325,PERSON_OF_INTEREST,Subject of enquiry in Physical Assault and Grievous Hurt Case at Ahmedabad under IPC 323/325.
CP-0420,CASE-1084,PERSON-0849,PERSON_OF_INTEREST,Subject of enquiry in Digital Identity Theft and Financial Scam at Durg under IT Act 66D / IPC 420.
CP-0421,CASE-0809,PERSON-0594,WITNESS,Subject of enquiry in Commercial Fraud and Embezzlement Syndicate at Durg under IPC 420/406.
CP-0422,CASE-0828,PERSON-0941,WITNESS,Subject of enquiry in Kidnapping and Extortion Case at Bilaspur under IPC 363/364A.
CP-0423,CASE-0956,PERSON-0693,WITNESS,Subject of enquiry in Serial Asset and Vehicle Theft in Surat under IPC 379.
CP-0424,CASE-0725,PERSON-0836,WITNESS,Subject of enquiry in Targeted Homicide Investigation in Delhi under IPC 302/120B.
CP-0425,CASE-1183,PERSON-0766,REPORTING_PERSON,Subject of enquiry in Threat and Extortion Racket in Durg under IPC 384/386.
CP-0426,CASE-0830,PERSON-0800,ACCUSED,Subject of enquiry in Kidnapping and Extortion Case at Pune under IPC 363/364A.
CP-0427,CASE-1073,PERSON-0990,PERSON_OF_INTEREST,Subject of enquiry in Nocturnal Commercial Burglary in Bilaspur under IPC 457/380.
CP-0428,CASE-0342,PERSON-0546,PERSON_OF_INTEREST,Subject of enquiry in Threat and Extortion Racket in Mumbai under IPC 384/386.
CP-0429,CASE-0259,PERSON-0855,SUSPECT,Subject of enquiry in Armed Robbery Incident at Howrah under IPC 392/397.
CP-0430,CASE-0424,PERSON-0106,WITNESS,Subject of enquiry in Intimidation and Witness Tampering at Nagpur under IPC 506.
CP-0431,CASE-0753,PERSON-0893,ACCUSED,Subject of enquiry in Intimidation and Witness Tampering at Varanasi under IPC 506.
CP-0432,CASE-0237,PERSON-0649,PERSON_OF_INTEREST,Subject of enquiry in Threat and Extortion Racket in Nagpur under IPC 384/386.
CP-0433,CASE-0784,PERSON-0415,ACCUSED,Subject of enquiry in Forged Documentation and Property Fraud in Pune under IPC 467/468/471.
CP-0434,CASE-0766,PERSON-0055,ACCUSED,Subject of enquiry in Threat and Extortion Racket in Howrah under IPC 384/386.
CP-0435,CASE-0998,PERSON-0234,SUSPECT,Subject of enquiry in Forged Documentation and Property Fraud in Mumbai under IPC 467/468/471.
CP-0436,CASE-0442,PERSON-0476,REPORTING_PERSON,Subject of enquiry in Forged Documentation and Property Fraud in Surat under IPC 467/468/471.
CP-0437,CASE-0302,PERSON-0491,WITNESS,Subject of enquiry in Kidnapping and Extortion Case at Durg under IPC 363/364A.
CP-0438,CASE-0287,PERSON-0695,ACCUSED,Subject of enquiry in Commercial Fraud and Embezzlement Syndicate at Delhi under IPC 420/406.
CP-0439,CASE-0812,PERSON-0281,ASSOCIATE,Subject of enquiry in Digital Identity Theft and Financial Scam at Nagpur under IT Act 66D / IPC 420.
CP-0440,CASE-0034,PERSON-0953,ASSOCIATE,Subject of enquiry in Threat and Extortion Racket in Delhi under IPC 384/386.
CP-0441,CASE-0900,PERSON-0289,PERSON_OF_INTEREST,Subject of enquiry in Forged Documentation and Property Fraud in Delhi under IPC 467/468/471.
CP-0442,CASE-0818,PERSON-0508,REPORTING_PERSON,Subject of enquiry in Nocturnal Commercial Burglary in Lucknow under IPC 457/380.
CP-0443,CASE-0953,PERSON-0411,ASSOCIATE,Subject of enquiry in Threat and Extortion Racket in Surat under IPC 384/386.
CP-0444,CASE-0949,PERSON-0164,PERSON_OF_INTEREST,Subject of enquiry in Serial Asset and Vehicle Theft in Delhi under IPC 379.
CP-0445,CASE-0106,PERSON-0282,ASSOCIATE,Subject of enquiry in Targeted Homicide Investigation in Raipur under IPC 302/120B.
CP-0446,CASE-0208,PERSON-0333,ACCUSED,Subject of enquiry in Armed Robbery Incident at Bilaspur under IPC 392/397.
CP-0447,CASE-0109,PERSON-0389,PERSON_OF_INTEREST,Subject of enquiry in Nocturnal Commercial Burglary in Siliguri under IPC 457/380.
CP-0448,CASE-0792,PERSON-0939,REPORTING_PERSON,Subject of enquiry in Physical Assault and Grievous Hurt Case at Howrah under IPC 323/325.
CP-0449,CASE-0888,PERSON-0110,WITNESS,Subject of enquiry in Kidnapping and Extortion Case at Varanasi under IPC 363/364A.
CP-0450,CASE-0603,PERSON-0394,WITNESS,Subject of enquiry in Nocturnal Commercial Burglary in Raipur under IPC 457/380.
CP-0451,CASE-1130,PERSON-0519,SUSPECT,Subject of enquiry in Commercial Fraud and Embezzlement Syndicate at Siliguri under IPC 420/406.
CP-0452,CASE-0982,PERSON-0100,ACCUSED,Subject of enquiry in Intimidation and Witness Tampering at Ahmedabad under IPC 506.
CP-0453,CASE-0679,PERSON-0229,ACCUSED,Subject of enquiry in Armed Robbery Incident at Lucknow under IPC 392/397.
CP-0454,CASE-1038,PERSON-0200,SUSPECT,Subject of enquiry in Digital Identity Theft and Financial Scam at Delhi under IT Act 66D / IPC 420.
CP-0455,CASE-0208,PERSON-0180,REPORTING_PERSON,Subject of enquiry in Armed Robbery Incident at Bilaspur under IPC 392/397.
CP-0456,CASE-1151,PERSON-0307,SUSPECT,Subject of enquiry in Serial Asset and Vehicle Theft in Bilaspur under IPC 379.
CP-0457,CASE-0051,PERSON-0552,ASSOCIATE,Subject of enquiry in Intimidation and Witness Tampering at Kolkata under IPC 506.
CP-0458,CASE-1068,PERSON-0411,SUSPECT,Subject of enquiry in Serial Asset and Vehicle Theft in Siliguri under IPC 379.
CP-0459,CASE-0919,PERSON-0444,ACCUSED,Subject of enquiry in Threat and Extortion Racket in Raipur under IPC 384/386.
CP-0460,CASE-0943,PERSON-0386,WITNESS,Subject of enquiry in Forged Documentation and Property Fraud in Lucknow under IPC 467/468/471.
CP-0461,CASE-0669,PERSON-0322,ACCUSED,Subject of enquiry in Serial Asset and Vehicle Theft in Lucknow under IPC 379.
CP-0462,CASE-0105,PERSON-0851,WITNESS,Subject of enquiry in Intimidation and Witness Tampering at Lucknow under IPC 506.
CP-0463,CASE-1200,PERSON-0157,PERSON_OF_INTEREST,Subject of enquiry in Targeted Homicide Investigation in Mumbai under IPC 302/120B.
CP-0464,CASE-0999,PERSON-0474,WITNESS,Subject of enquiry in Serial Asset and Vehicle Theft in Delhi under IPC 379.
CP-0465,CASE-0075,PERSON-0713,WITNESS,Subject of enquiry in Armed Robbery Incident at Siliguri under IPC 392/397.
CP-0466,CASE-1160,PERSON-0549,SUSPECT,Subject of enquiry in Nocturnal Commercial Burglary in Delhi under IPC 457/380.
CP-0467,CASE-0315,PERSON-0986,PERSON_OF_INTEREST,Subject of enquiry in Targeted Homicide Investigation in Kolkata under IPC 302/120B.
CP-0468,CASE-0677,PERSON-0707,REPORTING_PERSON,Subject of enquiry in Kidnapping and Extortion Case at Howrah under IPC 363/364A.
CP-0469,CASE-0901,PERSON-0780,REPORTING_PERSON,Subject of enquiry in Armed Robbery Incident at Bilaspur under IPC 392/397.
CP-0470,CASE-0548,PERSON-0178,ASSOCIATE,Subject of enquiry in Intimidation and Witness Tampering at Lucknow under IPC 506.
CP-0471,CASE-0403,PERSON-0126,WITNESS,Subject of enquiry in Digital Identity Theft and Financial Scam at Kolkata under IT Act 66D / IPC 420.
CP-0472,CASE-0787,PERSON-0313,PERSON_OF_INTEREST,Subject of enquiry in Digital Identity Theft and Financial Scam at Delhi under IT Act 66D / IPC 420.
CP-0473,CASE-0452,PERSON-0073,SUSPECT,Subject of enquiry in Armed Robbery Incident at Delhi under IPC 392/397.
CP-0474,CASE-0621,PERSON-0043,ASSOCIATE,Subject of enquiry in Commercial Fraud and Embezzlement Syndicate at Lucknow under IPC 420/406.
CP-0475,CASE-0399,PERSON-0459,WITNESS,Subject of enquiry in Targeted Homicide Investigation in Chennai under IPC 302/120B.
CP-0476,CASE-0397,PERSON-0458,ASSOCIATE,Subject of enquiry in Kidnapping and Extortion Case at Raipur under IPC 363/364A.
CP-0477,CASE-0875,PERSON-0591,WITNESS,Subject of enquiry in Intimidation and Witness Tampering at Mumbai under IPC 506.
CP-0478,CASE-0523,PERSON-0969,ASSOCIATE,Subject of enquiry in Targeted Homicide Investigation in Varanasi under IPC 302/120B.
CP-0479,CASE-0002,PERSON-0098,ASSOCIATE,Subject of enquiry in Physical Assault and Grievous Hurt Case at Ahmedabad under IPC 323/325.
CP-0480,CASE-0077,PERSON-0302,REPORTING_PERSON,Subject of enquiry in Serial Asset and Vehicle Theft in Mumbai under IPC 379.
CP-0481,CASE-0989,PERSON-0836,SUSPECT,Subject of enquiry in Intimidation and Witness Tampering at Delhi under IPC 506.
CP-0482,CASE-0449,PERSON-0510,ASSOCIATE,Subject of enquiry in Kidnapping and Extortion Case at Mumbai under IPC 363/364A.
CP-0483,CASE-1011,PERSON-0147,SUSPECT,Subject of enquiry in Threat and Extortion Racket in Bilaspur under IPC 384/386.
CP-0484,CASE-0942,PERSON-0862,ACCUSED,Subject of enquiry in Targeted Homicide Investigation in Ahmedabad under IPC 302/120B.
CP-0485,CASE-0763,PERSON-0902,PERSON_OF_INTEREST,Subject of enquiry in Targeted Homicide Investigation in Delhi under IPC 302/120B.
CP-0486,CASE-0529,PERSON-0621,WITNESS,Subject of enquiry in Kidnapping and Extortion Case at Chennai under IPC 363/364A.
CP-0487,CASE-1123,PERSON-0941,REPORTING_PERSON,Subject of enquiry in Intimidation and Witness Tampering at Delhi under IPC 506.
CP-0488,CASE-0678,PERSON-0677,REPORTING_PERSON,Subject of enquiry in Nocturnal Commercial Burglary in Lucknow under IPC 457/380.
CP-0489,CASE-0669,PERSON-0570,ASSOCIATE,Subject of enquiry in Serial Asset and Vehicle Theft in Lucknow under IPC 379.
CP-0490,CASE-1208,PERSON-0563,REPORTING_PERSON,Subject of enquiry in Serial Asset and Vehicle Theft in Delhi under IPC 379.
CP-0491,CASE-0572,PERSON-0856,WITNESS,Subject of enquiry in Kidnapping and Extortion Case at Surat under IPC 363/364A.
CP-0492,CASE-0503,PERSON-0262,SUSPECT,Subject of enquiry in Armed Robbery Incident at Delhi under IPC 392/397.
CP-0493,CASE-0889,PERSON-0525,ACCUSED,Subject of enquiry in Forged Documentation and Property Fraud in Pune under IPC 467/468/471.
CP-0494,CASE-0673,PERSON-0993,WITNESS,Subject of enquiry in Forged Documentation and Property Fraud in Delhi under IPC 467/468/471.
CP-0495,CASE-0616,PERSON-0541,REPORTING_PERSON,Subject of enquiry in Threat and Extortion Racket in Nagpur under IPC 384/386.
CP-0496,CASE-0829,PERSON-0083,WITNESS,Subject of enquiry in Targeted Homicide Investigation in Ahmedabad under IPC 302/120B.
CP-0497,CASE-0616,PERSON-0851,ACCUSED,Subject of enquiry in Threat and Extortion Racket in Nagpur under IPC 384/386.
CP-0498,CASE-0219,PERSON-0874,ASSOCIATE,Subject of enquiry in Forged Documentation and Property Fraud in Delhi under IPC 467/468/471.
CP-0499,CASE-1137,PERSON-0259,ASSOCIATE,Subject of enquiry in Targeted Homicide Investigation in Bilaspur under IPC 302/120B.
CP-0500,CASE-0510,PERSON-0506,ASSOCIATE,Subject of enquiry in Forged Documentation and Property Fraud in Mumbai under IPC 467/468/471.
CP-0501,CASE-0202,PERSON-0745,WITNESS,Subject of enquiry in Serial Asset and Vehicle Theft in Durg under IPC 379.
CP-0502,CASE-1036,PERSON-0402,PERSON_OF_INTEREST,Subject of enquiry in Commercial Fraud and Embezzlement Syndicate at Lucknow under IPC 420/406.
CP-0503,CASE-0819,PERSON-0460,WITNESS,Subject of enquiry in Physical Assault and Grievous Hurt Case at Durg under IPC 323/325.
CP-0504,CASE-0679,PERSON-0337,SUSPECT,Subject of enquiry in Armed Robbery Incident at Lucknow under IPC 392/397.
CP-0505,CASE-0497,PERSON-0197,WITNESS,Subject of enquiry in Armed Robbery Incident at Nagpur under IPC 392/397.
CP-0506,CASE-0986,PERSON-0981,REPORTING_PERSON,Subject of enquiry in Nocturnal Commercial Burglary in Durg under IPC 457/380.
CP-0507,CASE-0136,PERSON-0824,ACCUSED,Subject of enquiry in Threat and Extortion Racket in Durg under IPC 384/386.
CP-0508,CASE-0117,PERSON-0477,PERSON_OF_INTEREST,Subject of enquiry in Forged Documentation and Property Fraud in Delhi under IPC 467/468/471.
CP-0509,CASE-0886,PERSON-0188,PERSON_OF_INTEREST,Subject of enquiry in Threat and Extortion Racket in Raipur under IPC 384/386.
CP-0510,CASE-0970,PERSON-0062,ACCUSED,Subject of enquiry in Forged Documentation and Property Fraud in Nagpur under IPC 467/468/471.
CP-0511,CASE-0759,PERSON-0152,ACCUSED,Subject of enquiry in Serial Asset and Vehicle Theft in Kolkata under IPC 379.
CP-0512,CASE-0483,PERSON-0529,PERSON_OF_INTEREST,Subject of enquiry in Commercial Fraud and Embezzlement Syndicate at Siliguri under IPC 420/406.
CP-0513,CASE-0812,PERSON-0633,ASSOCIATE,Subject of enquiry in Digital Identity Theft and Financial Scam at Nagpur under IT Act 66D / IPC 420.
CP-0514,CASE-0831,PERSON-0471,ASSOCIATE,Subject of enquiry in Threat and Extortion Racket in Delhi under IPC 384/386.
CP-0515,CASE-0587,PERSON-0280,WITNESS,Subject of enquiry in Threat and Extortion Racket in Delhi under IPC 384/386.
CP-0516,CASE-0338,PERSON-0375,ASSOCIATE,Subject of enquiry in Commercial Fraud and Embezzlement Syndicate at Kolkata under IPC 420/406.
CP-0517,CASE-1225,PERSON-0365,WITNESS,Subject of enquiry in Nocturnal Commercial Burglary in Bilaspur under IPC 457/380.
CP-0518,CASE-0772,PERSON-0904,SUSPECT,Subject of enquiry in Nocturnal Commercial Burglary in Delhi under IPC 457/380.
CP-0519,CASE-0207,PERSON-0115,SUSPECT,Subject of enquiry in Targeted Homicide Investigation in Delhi under IPC 302/120B.
CP-0520,CASE-0018,PERSON-0184,WITNESS,Subject of enquiry in Commercial Fraud and Embezzlement Syndicate at Howrah under IPC 420/406.
CP-0521,CASE-0878,PERSON-0535,SUSPECT,Subject of enquiry in Physical Assault and Grievous Hurt Case at Kolkata under IPC 323/325.
CP-0522,CASE-0312,PERSON-0083,SUSPECT,Subject of enquiry in Digital Identity Theft and Financial Scam at Kolkata under IT Act 66D / IPC 420.
CP-0523,CASE-0966,PERSON-0212,SUSPECT,Subject of enquiry in Targeted Homicide Investigation in Varanasi under IPC 302/120B.
CP-0524,CASE-0274,PERSON-0329,ACCUSED,Subject of enquiry in Commercial Fraud and Embezzlement Syndicate at Kolkata under IPC 420/406.
CP-0525,CASE-0732,PERSON-0713,WITNESS,Subject of enquiry in Targeted Homicide Investigation in Howrah under IPC 302/120B.
CP-0526,CASE-0180,PERSON-0072,ASSOCIATE,Subject of enquiry in Intimidation and Witness Tampering at Delhi under IPC 506.
CP-0527,CASE-0635,PERSON-0369,SUSPECT,Subject of enquiry in Commercial Fraud and Embezzlement Syndicate at Howrah under IPC 420/406.
CP-0528,CASE-0080,PERSON-0627,SUSPECT,Subject of enquiry in Commercial Fraud and Embezzlement Syndicate at Nagpur under IPC 420/406.
CP-0529,CASE-0081,PERSON-0660,SUSPECT,Subject of enquiry in Threat and Extortion Racket in Nagpur under IPC 384/386.
CP-0530,CASE-0394,PERSON-0839,ASSOCIATE,Subject of enquiry in Armed Robbery Incident at Delhi under IPC 392/397.
CP-0531,CASE-0801,PERSON-0874,PERSON_OF_INTEREST,Subject of enquiry in Nocturnal Commercial Burglary in Durg under IPC 457/380.
CP-0532,CASE-0221,PERSON-0304,WITNESS,Subject of enquiry in Intimidation and Witness Tampering at Lucknow under IPC 506.
CP-0533,CASE-0597,PERSON-0661,WITNESS,Subject of enquiry in Commercial Fraud and Embezzlement Syndicate at Bilaspur under IPC 420/406.
CP-0534,CASE-0147,PERSON-0882,WITNESS,Subject of enquiry in Nocturnal Commercial Burglary in Mumbai under IPC 457/380.
CP-0535,CASE-0583,PERSON-0172,SUSPECT,Subject of enquiry in Armed Robbery Incident at Kolkata under IPC 392/397.
CP-0536,CASE-0947,PERSON-0651,ACCUSED,Subject of enquiry in Nocturnal Commercial Burglary in Chennai under IPC 457/380.
CP-0537,CASE-0323,PERSON-0689,REPORTING_PERSON,Subject of enquiry in Intimidation and Witness Tampering at Surat under IPC 506.
CP-0538,CASE-1055,PERSON-0129,PERSON_OF_INTEREST,Subject of enquiry in Threat and Extortion Racket in Raipur under IPC 384/386.
CP-0539,CASE-1243,PERSON-0260,REPORTING_PERSON,Subject of enquiry in Nocturnal Commercial Burglary in Chennai under IPC 457/380.
CP-0540,CASE-0582,PERSON-0063,PERSON_OF_INTEREST,Subject of enquiry in Threat and Extortion Racket in Mumbai under IPC 384/386.
CP-0541,CASE-0694,PERSON-0711,ASSOCIATE,Subject of enquiry in Digital Identity Theft and Financial Scam at Nagpur under IT Act 66D / IPC 420.
CP-0542,CASE-0969,PERSON-0860,PERSON_OF_INTEREST,Subject of enquiry in Intimidation and Witness Tampering at Delhi under IPC 506.
CP-0543,CASE-0735,PERSON-0552,ACCUSED,Subject of enquiry in Intimidation and Witness Tampering at Ahmedabad under IPC 506.
CP-0544,CASE-0602,PERSON-0700,REPORTING_PERSON,Subject of enquiry in Nocturnal Commercial Burglary in Howrah under IPC 457/380.
CP-0545,CASE-0822,PERSON-0459,ASSOCIATE,Subject of enquiry in Physical Assault and Grievous Hurt Case at Chennai under IPC 323/325.
CP-0546,CASE-0634,PERSON-0713,ACCUSED,Subject of enquiry in Armed Robbery Incident at Chennai under IPC 392/397.
CP-0547,CASE-0432,PERSON-0277,PERSON_OF_INTEREST,Subject of enquiry in Targeted Homicide Investigation in Kolkata under IPC 302/120B.
CP-0548,CASE-0305,PERSON-0751,ASSOCIATE,Subject of enquiry in Targeted Homicide Investigation in Delhi under IPC 302/120B.
CP-0549,CASE-0076,PERSON-0112,SUSPECT,Subject of enquiry in Kidnapping and Extortion Case at Durg under IPC 363/364A.
CP-0550,CASE-1204,PERSON-0927,SUSPECT,Subject of enquiry in Threat and Extortion Racket in Kolkata under IPC 384/386.
CP-0551,CASE-0303,PERSON-0141,PERSON_OF_INTEREST,Subject of enquiry in Kidnapping and Extortion Case at Kolkata under IPC 363/364A.
CP-0552,CASE-0259,PERSON-0183,REPORTING_PERSON,Subject of enquiry in Armed Robbery Incident at Howrah under IPC 392/397.
CP-0553,CASE-0151,PERSON-0320,ACCUSED,Subject of enquiry in Physical Assault and Grievous Hurt Case at Varanasi under IPC 323/325.
CP-0554,CASE-0656,PERSON-0624,ASSOCIATE,Subject of enquiry in Physical Assault and Grievous Hurt Case at Delhi under IPC 323/325.
CP-0555,CASE-0987,PERSON-0476,PERSON_OF_INTEREST,Subject of enquiry in Armed Robbery Incident at Mumbai under IPC 392/397.
CP-0556,CASE-0252,PERSON-0983,REPORTING_PERSON,Subject of enquiry in Kidnapping and Extortion Case at Pune under IPC 363/364A.
CP-0557,CASE-1131,PERSON-0777,WITNESS,Subject of enquiry in Physical Assault and Grievous Hurt Case at Durg under IPC 323/325.
CP-0558,CASE-0620,PERSON-0990,REPORTING_PERSON,Subject of enquiry in Digital Identity Theft and Financial Scam at Howrah under IT Act 66D / IPC 420.
CP-0559,CASE-0430,PERSON-0948,PERSON_OF_INTEREST,Subject of enquiry in Targeted Homicide Investigation in Nagpur under IPC 302/120B.
CP-0560,CASE-0070,PERSON-0403,ASSOCIATE,Subject of enquiry in Threat and Extortion Racket in Bilaspur under IPC 384/386.
CP-0561,CASE-0801,PERSON-0227,ACCUSED,Subject of enquiry in Nocturnal Commercial Burglary in Durg under IPC 457/380.
CP-0562,CASE-0136,PERSON-0081,SUSPECT,Subject of enquiry in Threat and Extortion Racket in Durg under IPC 384/386.
CP-0563,CASE-0517,PERSON-0429,ASSOCIATE,Subject of enquiry in Nocturnal Commercial Burglary in Delhi under IPC 457/380.
CP-0564,CASE-1020,PERSON-0505,REPORTING_PERSON,Subject of enquiry in Kidnapping and Extortion Case at Varanasi under IPC 363/364A.
CP-0565,CASE-0815,PERSON-0833,REPORTING_PERSON,Subject of enquiry in Armed Robbery Incident at Kolkata under IPC 392/397.
CP-0566,CASE-0663,PERSON-0491,ASSOCIATE,Subject of enquiry in Forged Documentation and Property Fraud in Mumbai under IPC 467/468/471.
CP-0567,CASE-0670,PERSON-0794,REPORTING_PERSON,Subject of enquiry in Intimidation and Witness Tampering at Surat under IPC 506.
CP-0568,CASE-0865,PERSON-0705,ACCUSED,Subject of enquiry in Kidnapping and Extortion Case at Pune under IPC 363/364A.
CP-0569,CASE-1161,PERSON-0919,REPORTING_PERSON,Subject of enquiry in Kidnapping and Extortion Case at Lucknow under IPC 363/364A.
CP-0570,CASE-0377,PERSON-0038,ASSOCIATE,Subject of enquiry in Threat and Extortion Racket in Delhi under IPC 384/386.
CP-0571,CASE-0514,PERSON-0456,SUSPECT,Subject of enquiry in Nocturnal Commercial Burglary in Siliguri under IPC 457/380.
CP-0572,CASE-0998,PERSON-0927,ACCUSED,Subject of enquiry in Forged Documentation and Property Fraud in Mumbai under IPC 467/468/471.
CP-0573,CASE-0304,PERSON-0074,ASSOCIATE,Subject of enquiry in Physical Assault and Grievous Hurt Case at Howrah under IPC 323/325.
CP-0574,CASE-0492,PERSON-0556,WITNESS,Subject of enquiry in Threat and Extortion Racket in Surat under IPC 384/386.
CP-0575,CASE-1015,PERSON-0315,ASSOCIATE,Subject of enquiry in Threat and Extortion Racket in Pune under IPC 384/386.
CP-0576,CASE-0370,PERSON-0458,SUSPECT,Subject of enquiry in Digital Identity Theft and Financial Scam at Durg under IT Act 66D / IPC 420.
CP-0577,CASE-0019,PERSON-0677,ACCUSED,Subject of enquiry in Serial Asset and Vehicle Theft in Delhi under IPC 379.
CP-0578,CASE-0703,PERSON-0850,WITNESS,Subject of enquiry in Digital Identity Theft and Financial Scam at Delhi under IT Act 66D / IPC 420.
CP-0579,CASE-0764,PERSON-0376,SUSPECT,Subject of enquiry in Kidnapping and Extortion Case at Mumbai under IPC 363/364A.
CP-0580,CASE-0215,PERSON-0525,WITNESS,Subject of enquiry in Kidnapping and Extortion Case at Lucknow under IPC 363/364A.
CP-0581,CASE-0414,PERSON-0247,ASSOCIATE,Subject of enquiry in Targeted Homicide Investigation in Durg under IPC 302/120B.
CP-0582,CASE-0681,PERSON-0727,REPORTING_PERSON,Subject of enquiry in Nocturnal Commercial Burglary in Pune under IPC 457/380.
CP-0583,CASE-1035,PERSON-0311,WITNESS,Subject of enquiry in Digital Identity Theft and Financial Scam at Kolkata under IT Act 66D / IPC 420.
CP-0584,CASE-0801,PERSON-0941,WITNESS,Subject of enquiry in Nocturnal Commercial Burglary in Durg under IPC 457/380.
CP-0585,CASE-1210,PERSON-0658,WITNESS,Subject of enquiry in Nocturnal Commercial Burglary in Pune under IPC 457/380.
CP-0586,CASE-0403,PERSON-0476,REPORTING_PERSON,Subject of enquiry in Digital Identity Theft and Financial Scam at Kolkata under IT Act 66D / IPC 420.
CP-0587,CASE-0081,PERSON-0496,REPORTING_PERSON,Subject of enquiry in Threat and Extortion Racket in Nagpur under IPC 384/386.
CP-0588,CASE-1211,PERSON-0591,ACCUSED,Subject of enquiry in Digital Identity Theft and Financial Scam at Kolkata under IT Act 66D / IPC 420.
