case_id,fir_number,offence_category,title,legal_section,year,location,district,police_station,status
CASE-0176,FIR-2021-0176,Murder,Targeted Homicide Investigation in Bilaspur,IPC 302/120B,2021,Bilaspur,Bilaspur,City Kotwali,CLOSED
CASE-0177,FIR-2022-0177,Murder,Targeted Homicide Investigation in Varanasi,IPC 302/120B,2022,Varanasi,Varanasi,Dashashwamedh,OPEN
CASE-0178,FIR-2022-0178,Theft,Serial Asset and Vehicle Theft in Kolkata,IPC 379,2022,Kolkata,Kolkata,Park Street,CLOSED
CASE-0179,FIR-2023-0179,Cybercrime,Digital Identity Theft and Financial Scam at Ahmedabad,IT Act 66D / IPC 420,2023,Ahmedabad,Ahmedabad,Ellis Bridge,OPEN
CASE-0180,FIR-2023-0180,Criminal Intimidation,Intimidation and Witness Tampering at Delhi,IPC 506,2023,Delhi,South Delhi,Hauz Khas,OPEN
CASE-0181,FIR-2022-0181,Kidnapping,Kidnapping and Extortion Case at Delhi,IPC 363/364A,2022,Delhi,East Delhi,Preet Vihar,OPEN
CASE-0182,FIR-2021-0182,Criminal Intimidation,Intimidation and Witness Tampering at Lucknow,IPC 506,2021,Lucknow,Lucknow,Hazratganj,OPEN
CASE-0183,FIR-2022-0183,Forgery,Forged Documentation and Property Fraud in Delhi,IPC 467/468/471,2022,Delhi,South Delhi,Hauz Khas,OPEN
CASE-0184,FIR-2022-0184,Forgery,Forged Documentation and Property Fraud in Nagpur,IPC 467/468/471,2022,Nagpur,Nagpur,Sitabuldi,CLOSED
CASE-0185,FIR-2021-0185,Criminal Intimidation,Intimidation and Witness Tampering at Lucknow,IPC 506,2021,Lucknow,Lucknow,Hazratganj,OPEN
CASE-0186,FIR-2023-0186,Theft,Serial Asset and Vehicle Theft in Kolkata,IPC 379,2023,Kolkata,Kolkata,Park Street,CLOSED
CASE-0187,FIR-2024-0187,Assault,Physical Assault and Grievous Hurt Case at Howrah,IPC 323/325,2024,Howrah,Howrah,Howrah Town,OPEN
CASE-0188,FIR-2024-0188,Burglary,Nocturnal Commercial Burglary in Delhi,IPC 457/380,2024,Delhi,South Delhi,Hauz Khas,OPEN
CASE-0189,FIR-2023-0189,Assault,Physical Assault and Grievous Hurt Case at Delhi,IPC 323/325,2023,Delhi,South Delhi,Hauz Khas,OPEN
CASE-0190,FIR-2024-0190,Cybercrime,Digital Identity Theft and Financial Scam at Delhi,IT Act 66D / IPC 420,2024,Delhi,East Delhi,Preet Vihar,OPEN
CASE-0191,FIR-2022-0191,Assault,Physical Assault and Grievous Hurt Case at Varanasi,IPC 323/325,2022,Varanasi,Varanasi,Dashashwamedh,OPEN
CASE-0192,FIR-2024-0192,Robbery,Armed Robbery Incident at Mumbai,IPC 392/397,2024,Mumbai,Mumbai Suburban,Bandra,OPEN
CASE-0193,FIR-2021-0193,Murder,Targeted Homicide Investigation in Howrah,IPC 302/120B,2021,Howrah,Howrah,Howrah Town,CLOSED
CASE-0194,FIR-2021-0194,Extortion,Threat and Extortion Racket in Kolkata,IPC 384/386,2021,Kolkata,Kolkata,Burrabazar,OPEN
CASE-0195,FIR-2024-0195,Robbery,Armed Robbery Incident at Howrah,IPC 392/397,2024,Howrah,Howrah,Howrah Town,CLOSED
CASE-0196,FIR-2021-0196,Murder,Targeted Homicide Investigation in Chennai,IPC 302/120B,2021,Chennai,Chennai,Flower Bazaar,OPEN
CASE-0197,FIR-2021-0197,Assault,Physical Assault and Grievous Hurt Case at Lucknow,IPC 323/325,2021,Lucknow,Lucknow,Hazratganj,CLOSED
CASE-0198,FIR-2022-0198,Robbery,Armed Robbery Incident at Bilaspur,IPC 392/397,2022,Bilaspur,Bilaspur,City Kotwali,CLOSED
CASE-0199,FIR-2021-0199,Assault,Physical Assault and Grievous Hurt Case at Delhi,IPC 323/325,2021,Delhi,Central Delhi,Connaught Place,OPEN
CASE-0200,FIR-2023-0200,Burglary,Nocturnal Commercial Burglary in Howrah,IPC 457/380,2023,Howrah,Howrah,Howrah Town,CLOSED
CASE-0201,FIR-2024-0201,Burglary,Nocturnal Commercial Burglary in Delhi,IPC 457/380,2024,Delhi,South Delhi,Hauz Khas,OPEN
CASE-0202,FIR-2023-0202,Theft,Serial Asset and Vehicle Theft in Durg,IPC 379,2023,Durg,Durg,Durg Sadar,OPEN
CASE-0203,FIR-2023-0203,Criminal Intimidation,Intimidation and Witness Tampering at Mumbai,IPC 506,2023,Mumbai,Mumbai City,Colaba,CLOSED
CASE-0204,FIR-2021-0204,Robbery,Armed Robbery Incident at Durg,IPC 392/397,2021,Durg,Durg,Durg Sadar,CLOSED
CASE-0205,FIR-2021-0205,Robbery,Armed Robbery Incident at Kolkata,IPC 392/397,2021,Kolkata,Kolkata,Ballygunge,OPEN
CASE-0206,FIR-2023-0206,Theft,Serial Asset and Vehicle Theft in Surat,IPC 379,2023,Surat,Surat,Varachha,OPEN
CASE-0207,FIR-2022-0207,Murder,Targeted Homicide Investigation in Delhi,IPC 302/120B,2022,Delhi,South Delhi,Hauz Khas,OPEN
CASE-0208,FIR-2024-0208,Robbery,Armed Robbery Incident at Bilaspur,IPC 392/397,2024,Bilaspur,Bilaspur,City Kotwali,CLOSED
CASE-0209,FIR-2022-0209,Murder,Targeted Homicide Investigation in Delhi,IPC 302/120B,2022,Delhi,South Delhi,Hauz Khas,CLOSED
CASE-0210,FIR-2024-0210,Robbery,Armed Robbery Incident at Raipur,IPC 392/397,2024,Raipur,Raipur,Civil Lines,CLOSED
CASE-0211,FIR-2024-0211,Assault,Physical Assault and Grievous Hurt Case at Raipur,IPC 323/325,2024,Raipur,Raipur,Civil Lines,OPEN
CASE-0212,FIR-2021-0212,Cybercrime,Digital Identity Theft and Financial Scam at Surat,IT Act 66D / IPC 420,2021,Surat,Surat,Varachha,OPEN
CASE-0213,FIR-2022-0213,Robbery,Armed Robbery Incident at Mumbai,IPC 392/397,2022,Mumbai,Mumbai City,Colaba,CLOSED
CASE-0214,FIR-2021-0214,Forgery,Forged Documentation and Property Fraud in Kolkata,IPC 467/468/471,2021,Kolkata,Kolkata,Burrabazar,OPEN
CASE-0215,FIR-2022-0215,Kidnapping,Kidnapping and Extortion Case at Lucknow,IPC 363/364A,2022,Lucknow,Lucknow,Hazratganj,OPEN
CASE-0216,FIR-2024-0216,Assault,Physical Assault and Grievous Hurt Case at Kolkata,IPC 323/325,2024,Kolkata,Kolkata,Burrabazar,OPEN
CASE-0217,FIR-2023-0217,Cybercrime,Digital Identity Theft and Financial Scam at Delhi,IT Act 66D / IPC 420,2023,Delhi,East Delhi,Preet Vihar,OPEN
CASE-0218,FIR-2023-0218,Criminal Intimidation,Intimidation and Witness Tampering at Durg,IPC 506,2023,Durg,Durg,Durg Sadar,OPEN
CASE-0219,FIR-2023-0219,Forgery,Forged Documentation and Property Fraud in Delhi,IPC 467/468/471,2023,Delhi,Central Delhi,Connaught Place,CLOSED
CASE-0220,FIR-2022-0220,Fraud,Commercial Fraud and Embezzlement Syndicate at Kolkata,IPC 420/406,2022,Kolkata,Kolkata,Burrabazar,OPEN
CASE-0221,FIR-2021-0221,Criminal Intimidation,Intimidation and Witness Tampering at Lucknow,IPC 506,2021,Lucknow,Lucknow,Hazratganj,OPEN
CASE-0222,FIR-2021-0222,Murder,Targeted Homicide Investigation in Howrah,IPC 302/120B,2021,Howrah,Howrah,Howrah Town,OPEN
CASE-0223,FIR-2021-0223,Fraud,Commercial Fraud and Embezzlement Syndicate at Raipur,IPC 420/406,2021,Raipur,Raipur,Civil Lines,OPEN
CASE-0224,FIR-2024-0224,Theft,Serial Asset and Vehicle Theft in Bilaspur,IPC 379,2024,Bilaspur,Bilaspur,City Kotwali,OPEN
CASE-0225,FIR-2021-0225,Kidnapping,Kidnapping and Extortion Case at Delhi,IPC 363/364A,2021,Delhi,South Delhi,Hauz Khas,OPEN
CASE-0226,FIR-2022-0226,Criminal Intimidation,Intimidation and Witness Tampering at Kolkata,IPC 506,2022,Kolkata,Kolkata,Burrabazar,CLOSED
CASE-0227,FIR-2024-0227,Robbery,Armed Robbery Incident at Pune,IPC 392/397,2024,Pune,Pune,Shivajinagar,CLOSED
CASE-0228,FIR-2021-0228,Cybercrime,Digital Identity Theft and Financial Scam at Mumbai,IT Act 66D / IPC 420,2021,Mumbai,Mumbai Suburban,Bandra,CLOSED
CASE-0229,FIR-2021-0229,Criminal Intimidation,Intimidation and Witness Tampering at Lucknow,IPC 506,2021,Lucknow,Lucknow,Hazratganj,OPEN
CASE-0230,FIR-2024-0230,Theft,Serial Asset and Vehicle Theft in Nagpur,IPC 379,2024,Nagpur,Nagpur,Sitabuldi,CLOSED
CASE-0231,FIR-2021-0231,Murder,Targeted Homicide Investigation in Chennai,IPC 302/120B,2021,Chennai,Chennai,Flower Bazaar,OPEN
CASE-0232,FIR-2022-0232,Fraud,Commercial Fraud and Embezzlement Syndicate at Howrah,IPC 420/406,2022,Howrah,Howrah,Howrah Town,OPEN
CASE-0233,FIR-2022-0233,Assault,Physical Assault and Grievous Hurt Case at Kolkata,IPC 323/325,2022,Kolkata,Kolkata,Park Street,OPEN
CASE-0234,FIR-2022-0234,Theft,Serial Asset and Vehicle Theft in Howrah,IPC 379,2022,Howrah,Howrah,Howrah Town,OPEN
CASE-0235,FIR-2021-0235,Cybercrime,Digital Identity Theft and Financial Scam at Durg,IT Act 66D / IPC 420,2021,Durg,Durg,Durg Sadar,CLOSED
CASE-0236,FIR-2023-0236,Cybercrime,Digital Identity Theft and Financial Scam at Mumbai,IT Act 66D / IPC 420,2023,Mumbai,Mumbai City,Colaba,OPEN
CASE-0237,FIR-2023-0237,Extortion,Threat and Extortion Racket in Nagpur,IPC 384/386,2023,Nagpur,Nagpur,Sitabuldi,OPEN
CASE-0238,FIR-2024-0238,Burglary,Nocturnal Commercial Burglary in Delhi,IPC 457/380,2024,Delhi,South Delhi,Hauz Khas,CLOSED
CASE-0239,FIR-2022-0239,Fraud,Commercial Fraud and Embezzlement Syndicate at Raipur,IPC 420/406,2022,Raipur,Raipur,Civil Lines,CLOSED
CASE-0240,FIR-2021-0240,Fraud,Commercial Fraud and Embezzlement Syndicate at Delhi,IPC 420/406,2021,Delhi,Central Delhi,Connaught Place,OPEN
CASE-0241,FIR-2022-0241,Murder,Targeted Homicide Investigation in Mumbai,IPC 302/120B,2022,Mumbai,Mumbai Suburban,Bandra,CLOSED
CASE-0242,FIR-2024-0242,Burglary,Nocturnal Commercial Burglary in Delhi,IPC 457/380,2024,Delhi,South Delhi,Hauz Khas,OPEN
CASE-0243,FIR-2021-0243,Fraud,Commercial Fraud and Embezzlement Syndicate at Pune,IPC 420/406,2021,Pune,Pune,Shivajinagar,OPEN
CASE-0244,FIR-2023-0244,Robbery,Armed Robbery Incident at Bilaspur,IPC 392/397,2023,Bilaspur,Bilaspur,City Kotwali,OPEN
CASE-0245,FIR-2024-0245,Criminal Intimidation,Intimidation and Witness Tampering at Kolkata,IPC 506,2024,Kolkata,Kolkata,Burrabazar,OPEN
CASE-0246,FIR-2023-0246,Kidnapping,Kidnapping and Extortion Case at Surat,IPC 363/364A,2023,Surat,Surat,Varachha,OPEN
CASE-0247,FIR-2023-0247,Fraud,Commercial Fraud and Embezzlement Syndicate at Varanasi,IPC 420/406,2023,Varanasi,Varanasi,Dashashwamedh,OPEN
CASE-0248,FIR-2023-0248,Extortion,Threat and Extortion Racket in Raipur,IPC 384/386,2023,Raipur,Raipur,Civil Lines,OPEN
CASE-0249,FIR-2022-0249,Cybercrime,Digital Identity Theft and Financial Scam at Nagpur,IT Act 66D / IPC 420,2022,Nagpur,Nagpur,Sitabuldi,OPEN
CASE-0250,FIR-2023-0250,Criminal Intimidation,Intimidation and Witness Tampering at Nagpur,IPC 506,2023,Nagpur,Nagpur,Sitabuldi,OPEN
CASE-0251,FIR-2021-0251,Theft,Serial Asset and Vehicle Theft in Howrah,IPC 379,2021,Howrah,Howrah,Howrah Town,OPEN
CASE-0252,FIR-2022-0252,Kidnapping,Kidnapping and Extortion Case at Pune,IPC 363/364A,2022,Pune,Pune,Shivajinagar,OPEN
CASE-0253,FIR-2021-0253,Theft,Serial Asset and Vehicle Theft in Durg,IPC 379,2021,Durg,Durg,Durg Sadar,OPEN
CASE-0254,FIR-2022-0254,Murder,Targeted Homicide Investigation in Bilaspur,IPC 302/120B,2022,Bilaspur,Bilaspur,City Kotwali,OPEN
CASE-0255,FIR-2021-0255,Fraud,Commercial Fraud and Embezzlement Syndicate at Varanasi,IPC 420/406,2021,Varanasi,Varanasi,Dashashwamedh,OPEN
CASE-0256,FIR-2024-0256,Criminal Intimidation,Intimidation and Witness Tampering at Delhi,IPC 506,2024,Delhi,South Delhi,Hauz Khas,OPEN
CASE-0257,FIR-2022-0257,Theft,Serial Asset and Vehicle Theft in Bilaspur,IPC 379,2022,Bilaspur,Bilaspur,City Kotwali,OPEN
CASE-0258,FIR-2021-0258,Burglary,Nocturnal Commercial Burglary in Ahmedabad,IPC 457/380,2021,Ahmedabad,Ahmedabad,Ellis Bridge,CLOSED
CASE-0259,FIR-2021-0259,Robbery,Armed Robbery Incident at Howrah,IPC 392/397,2021,Howrah,Howrah,Howrah Town,OPEN
CASE-0260,FIR-2024-0260,Murder,Targeted Homicide Investigation in Pune,IPC 302/120B,2024,Pune,Pune,Shivajinagar,OPEN
CASE-0261,FIR-2021-0261,Kidnapping,Kidnapping and Extortion Case at Mumbai,IPC 363/364A,2021,Mumbai,Mumbai Suburban,Bandra,OPEN
CASE-0262,FIR-2024-0262,Murder,Targeted Homicide Investigation in Kolkata,IPC 302/120B,2024,Kolkata,Kolkata,Park Street,OPEN
CASE-0263,FIR-2021-0263,Robbery,Armed Robbery Incident at Kolkata,IPC 392/397,2021,Kolkata,Kolkata,Ballygunge,OPEN
CASE-0264,FIR-2024-0264,Kidnapping,Kidnapping and Extortion Case at Kolkata,IPC 363/364A,2024,Kolkata,Kolkata,Burrabazar,OPEN
CASE-0265,FIR-2023-0265,Robbery,Armed Robbery Incident at Mumbai,IPC 392/397,2023,Mumbai,Mumbai Suburban,Bandra,OPEN
CASE-0266,FIR-2021-0266,Theft,Serial Asset and Vehicle Theft in Delhi,IPC 379,2021,Delhi,Central Delhi,Connaught Place,OPEN
CASE-0267,FIR-2021-0267,Theft,Serial Asset and Vehicle Theft in Ahmedabad,IPC 379,2021,Ahmedabad,Ahmedabad,Ellis Bridge,OPEN
CASE-0268,FIR-2021-0268,Burglary,Nocturnal Commercial Burglary in Ahmedabad,IPC 457/380,2021,Ahmedabad,Ahmedabad,Ellis Bridge,CLOSED
CASE-0269,FIR-2021-0269,Murder,Targeted Homicide Investigation in Howrah,IPC 302/120B,2021,Howrah,Howrah,Howrah Town,OPEN
CASE-0270,FIR-2021-0270,Kidnapping,Kidnapping and Extortion Case at Siliguri,IPC 363/364A,2021,Siliguri,Darjeeling,Siliguri PS,CLOSED
CASE-0271,FIR-2022-0271,Robbery,Armed Robbery Incident at Durg,IPC 392/397,2022,Durg,Durg,Durg Sadar,OPEN
CASE-0272,FIR-2021-0272,Theft,Serial Asset and Vehicle Theft in Chennai,IPC 379,2021,Chennai,Chennai,Flower Bazaar,CLOSED
CASE-0273,FIR-2021-0273,Kidnapping,Kidnapping and Extortion Case at Mumbai,IPC 363/364A,2021,Mumbai,Mumbai City,Colaba,OPEN
CASE-0274,FIR-2023-0274,Fraud,Commercial Fraud and Embezzlement Syndicate at Kolkata,IPC 420/406,2023,Kolkata,Kolkata,Burrabazar,OPEN
CASE-0275,FIR-2023-0275,Murder,Targeted Homicide Investigation in Delhi,IPC 302/120B,2023,Delhi,Central Delhi,Connaught Place,CLOSED
CASE-0276,FIR-2024-0276,Cybercrime,Digital Identity Theft and Financial Scam at Lucknow,IT Act 66D / IPC 420,2024,Lucknow,Lucknow,Hazratganj,OPEN
CASE-0277,FIR-2024-0277,Theft,Serial Asset and Vehicle Theft in Siliguri,IPC 379,2024,Siliguri,Darjeeling,Siliguri PS,OPEN
CASE-0278,FIR-2022-0278,Criminal Intimidation,Intimidation and Witness Tampering at Howrah,IPC 506,2022,Howrah,Howrah,Howrah Town,OPEN
CASE-0279,FIR-2023-0279,Criminal Intimidation,Intimidation and Witness Tampering at Ahmedabad,IPC 506,2023,Ahmedabad,Ahmedabad,Ellis Bridge,OPEN
CASE-0280,FIR-2021-0280,Burglary,Nocturnal Commercial Burglary in Durg,IPC 457/380,2021,Durg,Durg,Durg Sadar,OPEN
CASE-0281,FIR-2023-0281,Fraud,Commercial Fraud and Embezzlement Syndicate at Kolkata,IPC 420/406,2023,Kolkata,Kolkata,Burrabazar,OPEN
CASE-0282,FIR-2021-0282,Forgery,Forged Documentation and Property Fraud in Bilaspur,IPC 467/468/471,2021,Bilaspur,Bilaspur,City Kotwali,OPEN
CASE-0283,FIR-2022-0283,Burglary,Nocturnal Commercial Burglary in Kolkata,IPC 457/380,2022,Kolkata,Kolkata,Ballygunge,OPEN
CASE-0284,FIR-2024-0284,Forgery,Forged Documentation and Property Fraud in Delhi,IPC 467/468/471,2024,Delhi,East Delhi,Preet Vihar,OPEN
CASE-0285,FIR-2022-0285,Extortion,Threat and Extortion Racket in Pune,IPC 384/386,2022,Pune,Pune,Shivajinagar,CLOSED
CASE-0286,FIR-2023-0286,Assault,Physical Assault and Grievous Hurt Case at Surat,IPC 323/325,2023,Surat,Surat,Varachha,CLOSED
CASE-0287,FIR-2022-0287,Fraud,Commercial Fraud and Embezzlement Syndicate at Delhi,IPC 420/406,2022,Delhi,East Delhi,Preet Vihar,CLOSED
CASE-0288,FIR-2022-0288,Extortion,Threat and Extortion Racket in Siliguri,IPC 384/386,2022,Siliguri,Darjeeling,Siliguri PS,CLOSED
CASE-0289,FIR-2022-0289,Robbery,Armed Robbery Incident at Delhi,IPC 392/397,2022,Delhi,East Delhi,Preet Vihar,CLOSED
CASE-0290,FIR-2023-0290,Forgery,Forged Documentation and Property Fraud in Kolkata,IPC 467/468/471,2023,Kolkata,Kolkata,Burrabazar,OPEN
CASE-0291,FIR-2021-0291,Criminal Intimidation,Intimidation and Witness Tampering at Mumbai,IPC 506,2021,Mumbai,Mumbai Suburban,Bandra,OPEN
CASE-0292,FIR-2022-0292,Extortion,Threat and Extortion Racket in Howrah,IPC 384/386,2022,Howrah,Howrah,Howrah Town,OPEN
CASE-0293,FIR-2023-0293,Burglary,Nocturnal Commercial Burglary in Raipur,IPC 457/380,2023,Raipur,Raipur,Civil Lines,OPEN
CASE-0294,FIR-2024-0294,Criminal Intimidation,Intimidation and Witness Tampering at Surat,IPC 506,2024,Surat,Surat,Varachha,OPEN
CASE-0295,FIR-2021-0295,Extortion,Threat and Extortion Racket in Chennai,IPC 384/386,2021,Chennai,Chennai,Flower Bazaar,OPEN
CASE-0296,FIR-2024-0296,Forgery,Forged Documentation and Property Fraud in Siliguri,IPC 467/468/471,2024,Siliguri,Darjeeling,Siliguri PS,OPEN
CASE-0297,FIR-2021-0297,Assault,Physical Assault and Grievous Hurt Case at Pune,IPC 323/325,2021,Pune,Pune,Shivajinagar,OPEN
CASE-0298,FIR-2021-0298,Theft,Serial Asset and Vehicle Theft in Howrah,IPC 379,2021,Howrah,Howrah,Howrah Town,OPEN
CASE-0299,FIR-2023-0299,Robbery,Armed Robbery Incident at Bilaspur,IPC 392/397,2023,Bilaspur,Bilaspur,City Kotwali,OPEN
CASE-0300,FIR-2023-0300,Cybercrime,Digital Identity Theft and Financial Scam at Varanasi,IT Act 66D / IPC 420,2023,Varanasi,Varanasi,Dashashwamedh,OPEN
CASE-0301,FIR-2024-0301,Burglary,Nocturnal Commercial Burglary in Surat,IPC 457/380,2024,Surat,Surat,Varachha,OPEN
CASE-0302,FIR-2021-0302,Kidnapping,Kidnapping and Extortion Case at Durg,IPC 363/364A,2021,Durg,Durg,Durg Sadar,OPEN
CASE-0303,FIR-2023-0303,Kidnapping,Kidnapping and Extortion Case at Kolkata,IPC 363/364A,2023,Kolkata,Kolkata,Ballygunge,OPEN
CASE-0304,FIR-2023-0304,Assault,Physical Assault and Grievous Hurt Case at Howrah,IPC 323/325,2023,Howrah,Howrah,Howrah Town,OPEN
CASE-0305,FIR-2024-0305,Murder,Targeted Homicide Investigation in Delhi,IPC 302/120B,2024,Delhi,Central Delhi,Connaught Place,OPEN
CASE-0306,FIR-2024-0306,Forgery,Forged Documentation and Property Fraud in Mumbai,IPC 467/468/471,2024,Mumbai,Mumbai City,Colaba,OPEN
CASE-0307,FIR-2023-0307,Forgery,Forged Documentation and Property Fraud in Nagpur,IPC 467/468/471,2023,Nagpur,Nagpur,Sitabuldi,CLOSED
CASE-0308,FIR-2021-0308,Fraud,Commercial Fraud and Embezzlement Syndicate at Kolkata,IPC 420/406,2021,Kolkata,Kolkata,Park Street,OPEN
CASE-0309,FIR-2023-0309,Murder,Targeted Homicide Investigation in Ahmedabad,IPC 302/120B,2023,Ahmedabad,Ahmedabad,Ellis Bridge,CLOSED
CASE-0310,FIR-2023-0310,Forgery,Forged Documentation and Property Fraud in Raipur,IPC 467/468/471,2023,Raipur,Raipur,Civil Lines,CLOSED
CASE-0311,FIR-2023-0311,Cybercrime,Digital Identity Theft and Financial Scam at Raipur,IT Act 66D / IPC 420,2023,Raipur,Raipur,Civil Lines,CLOSED
CASE-0312,FIR-2024-0312,Cybercrime,Digital Identity Theft and Financial Scam at Kolkata,IT Act 66D / IPC 420,2024,Kolkata,Kolkata,Park Street,OPEN
CASE-0313,FIR-2023-0313,Kidnapping,Kidnapping and Extortion Case at Raipur,IPC 363/364A,2023,Raipur,Raipur,Civil Lines,CLOSED
CASE-0314,FIR-2023-0314,Cybercrime,Digital Identity Theft and Financial Scam at Kolkata,IT Act 66D / IPC 420,2023,Kolkata,Kolkata,Park Street,CLOSED
CASE-0315,FIR-2024-0315,Murder,Targeted Homicide Investigation in Kolkata,IPC 302/120B,2024,Kolkata,Kolkata,Park Street,CLOSED
CASE-0316,FIR-2021-0316,Burglary,Nocturnal Commercial Burglary in Howrah,IPC 457/380,2021,Howrah,Howrah,Howrah Town,CLOSED
CASE-0317,FIR-2022-0317,Murder,Targeted Homicide Investigation in Mumbai,IPC 302/120B,2022,Mumbai,Mumbai Suburban,Bandra,OPEN
CASE-0318,FIR-2021-0318,Cybercrime,Digital Identity Theft and Financial Scam at Siliguri,IT Act 66D / IPC 420,2021,Siliguri,Darjeeling,Siliguri PS,OPEN
CASE-0319,FIR-2024-0319,Theft,Serial Asset and Vehicle Theft in Delhi,IPC 379,2024,Delhi,East Delhi,Preet Vihar,CLOSED
CASE-0320,FIR-2024-0320,Assault,Physical Assault and Grievous Hurt Case at Mumbai,IPC 323/325,2024,Mumbai,Mumbai City,Colaba,OPEN
CASE-0321,FIR-2023-0321,Burglary,Nocturnal Commercial Burglary in Kolkata,IPC 457/380,2023,Kolkata,Kolkata,Park Street,OPEN
CASE-0322,FIR-2024-0322,Theft,Serial Asset and Vehicle Theft in Surat,IPC 379,2024,Surat,Surat,Varachha,OPEN
CASE-0323,FIR-2021-0323,Criminal Intimidation,Intimidation and Witness Tampering at Surat,IPC 506,2021,Surat,Surat,Varachha,OPEN
CASE-0324,FIR-2022-0324,Robbery,Armed Robbery Incident at Durg,IPC 392/397,2022,Durg,Durg,Durg Sadar,OPEN
CASE-0325,FIR-2024-0325,Kidnapping,Kidnapping and Extortion Case at Durg,IPC 363/364A,2024,Durg,Durg,Durg Sadar,OPEN
CASE-0326,FIR-2024-0326,Extortion,Threat and Extortion Racket in Bilaspur,IPC 384/386,2024,Bilaspur,Bilaspur,City Kotwali,OPEN
CASE-0327,FIR-2024-0327,Fraud,Commercial Fraud and Embezzlement Syndicate at Chennai,IPC 420/406,2024,Chennai,Chennai,Flower Bazaar,CLOSED
CASE-0328,FIR-2023-0328,Assault,Physical Assault and Grievous Hurt Case at Raipur,IPC 323/325,2023,Raipur,Raipur,Civil Lines,CLOSED
CASE-0329,FIR-2024-0329,Theft,Serial Asset and Vehicle Theft in Pune,IPC 379,2024,Pune,Pune,Shivajinagar,OPEN
CASE-0330,FIR-2022-0330,Fraud,Commercial Fraud and Embezzlement Syndicate at Mumbai,IPC 420/406,2022,Mumbai,Mumbai Suburban,Bandra,OPEN
CASE-0331,FIR-2021-0331,Assault,Physical Assault and Grievous Hurt Case at Pune,IPC 323/325,2021,Pune,Pune,Shivajinagar,OPEN
CASE-0332,FIR-2023-0332,Burglary,Nocturnal Commercial Burglary in Lucknow,IPC 457/380,2023,Lucknow,Lucknow,Hazratganj,OPEN
CASE-0333,FIR-2022-0333,Kidnapping,Kidnapping and Extortion Case at Ahmedabad,IPC 363/364A,2022,Ahmedabad,Ahmedabad,Ellis Bridge,OPEN
CASE-0334,FIR-2023-0334,Cybercrime,Digital Identity Theft and Financial Scam at Surat,IT Act 66D / IPC 420,2023,Surat,Surat,Varachha,OPEN
CASE-0335,FIR-2023-0335,Criminal Intimidation,Intimidation and Witness Tampering at Raipur,IPC 506,2023,Raipur,Raipur,Civil Lines,OPEN
CASE-0336,FIR-2021-0336,Extortion,Threat and Extortion Racket in Mumbai,IPC 384/386,2021,Mumbai,Mumbai Suburban,Bandra,OPEN
CASE-0337,FIR-2021-0337,Forgery,Forged Documentation and Property Fraud in Mumbai,IPC 467/468/471,2021,Mumbai,Mumbai Suburban,Bandra,OPEN
CASE-0338,FIR-2024-0338,Fraud,Commercial Fraud and Embezzlement Syndicate at Kolkata,IPC 420/406,2024,Kolkata,Kolkata,Park Street,OPEN
CASE-0339,FIR-2023-0339,Kidnapping,Kidnapping and Extortion Case at Kolkata,IPC 363/364A,2023,Kolkata,Kolkata,Ballygunge,OPEN
CASE-0340,FIR-2022-0340,Fraud,Commercial Fraud and Embezzlement Syndicate at Surat,IPC 420/406,2022,Surat,Surat,Varachha,CLOSED
CASE-0341,FIR-2022-0341,Fraud,Commercial Fraud and Embezzlement Syndicate at Siliguri,IPC 420/406,2022,Siliguri,Darjeeling,Siliguri PS,OPEN
CASE-0342,FIR-2022-0342,Extortion,Threat and Extortion Racket in Mumbai,IPC 384/386,2022,Mumbai,Mumbai Suburban,Bandra,OPEN
CASE-0343,FIR-2024-0343,Theft,Serial Asset and Vehicle Theft in Durg,IPC 379,2024,Durg,Durg,Durg Sadar,OPEN
CASE-0344,FIR-2023-0344,Extortion,Threat and Extortion Racket in Mumbai,IPC 384/386,2023,Mumbai,Mumbai City,Colaba,OPEN
CASE-0345,FIR-2024-0345,Cybercrime,Digital Identity Theft and Financial Scam at Lucknow,IT Act 66D / IPC 420,2024,Lucknow,Lucknow,Hazratganj,CLOSED
CASE-0346,FIR-2022-0346,Theft,Serial Asset and Vehicle Theft in Lucknow,IPC 379,2022,Lucknow,Lucknow,Hazratganj,CLOSED
CASE-0347,FIR-2022-0347,Forgery,Forged Documentation and Property Fraud in Mumbai,IPC 467/468/471,2022,Mumbai,Mumbai City,Colaba,OPEN
CASE-0348,FIR-2023-0348,Forgery,Forged Documentation and Property Fraud in Mumbai,IPC 467/468/471,2023,Mumbai,Mumbai Suburban,Bandra,OPEN
CASE-0349,FIR-2022-0349,Murder,Targeted Homicide Investigation in Delhi,IPC 302/120B,2022,Delhi,East Delhi,Preet Vihar,OPEN
CASE-0350,FIR-2022-0350,Robbery,Armed Robbery Incident at Howrah,IPC 392/397,2022,Howrah,Howrah,Howrah Town,OPEN
CASE-0351,FIR-2023-0351,Theft,Serial Asset and Vehicle Theft in Surat,IPC 379,2023,Surat,Surat,Varachha,OPEN
CASE-0352,FIR-2024-0352,Robbery,Armed Robbery Incident at Delhi,IPC 392/397,2024,Delhi,East Delhi,Preet Vihar,CLOSED
CASE-0353,FIR-2021-0353,Burglary,Nocturnal Commercial Burglary in Kolkata,IPC 457/380,2021,Kolkata,Kolkata,Park Street,CLOSED
