case_id,case_title,offence_category,legal_section,fir_number,date_opened,description,status,police_station,district,state,location_id
CASE-084,Synthetic Case Record 084 — Criminal Intimidation — Raipur,Criminal Intimidation,IPC 506,FIR-SYNTH-RAI-0084,2023-03-19,"Synthetic case record regarding criminal intimidation in fictional scenario 84. District: Raipur, State: Chhattisgarh. For demonstration purposes only.",OPEN,"Fictional PS No.13, Raipur",Raipur,Chhattisgarh,LOCATION-021
CASE-085,Synthetic Case Record 085 — Burglary — Central Delhi,Burglary,IPC 457,FIR-SYNTH-CEN-0085,2025-02-14,"Synthetic case record regarding burglary in fictional scenario 85. District: Central Delhi, State: Delhi. For demonstration purposes only.",OPEN,"Fictional PS No.18, Delhi",Central Delhi,Delhi,LOCATION-026
CASE-086,Synthetic Case Record 086 — Attempted Murder — Pune,Attempted Murder,IPC 307,FIR-SYNTH-PUN-0086,2025-12-17,"Synthetic case record regarding attempted murder in fictional scenario 86. District: Pune, State: Maharashtra. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.15, Pune",Pune,Maharashtra,LOCATION-026
CASE-087,Synthetic Case Record 087 — Assault — South Delhi,Assault,IPC 323,FIR-SYNTH-SOU-0087,2022-08-26,"Synthetic case record regarding assault in fictional scenario 87. District: South Delhi, State: Delhi. For demonstration purposes only.",OPEN,"Fictional PS No.6, Delhi",South Delhi,Delhi,LOCATION-028
CASE-088,Synthetic Case Record 088 — Assault — Mumbai Suburban,Assault,IPC 323,FIR-SYNTH-MUM-0088,2025-01-19,"Synthetic case record regarding assault in fictional scenario 88. District: Mumbai Suburban, State: Maharashtra. For demonstration purposes only.",OPEN,"Fictional PS No.15, Mumbai",Mumbai Suburban,Maharashtra,LOCATION-006
CASE-089,Synthetic Case Record 089 — Molestation — Bengaluru Rural,Molestation,IPC 354,FIR-SYNTH-BEN-0089,2021-02-21,"Synthetic case record regarding molestation in fictional scenario 89. District: Bengaluru Rural, State: Karnataka. For demonstration purposes only.",CLOSED,"Fictional PS No.11, Bengaluru",Bengaluru Rural,Karnataka,LOCATION-029
CASE-090,Synthetic Case Record 090 — Murder — North Delhi,Murder,IPC 302,FIR-SYNTH-NOR-0090,2021-07-06,"Synthetic case record regarding murder in fictional scenario 90. District: North Delhi, State: Delhi. For demonstration purposes only.",OPEN,"Fictional PS No.6, Delhi",North Delhi,Delhi,LOCATION-008
CASE-091,Synthetic Case Record 091 — Murder — Lucknow,Murder,IPC 302,FIR-SYNTH-LUC-0091,2024-12-19,"Synthetic case record regarding murder in fictional scenario 91. District: Lucknow, State: Uttar Pradesh. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.3, Lucknow",Lucknow,Uttar Pradesh,LOCATION-034
CASE-092,Synthetic Case Record 092 — Extortion — Ahmedabad,Extortion,IPC 384,FIR-SYNTH-AHM-0092,2024-02-02,"Synthetic case record regarding extortion in fictional scenario 92. District: Ahmedabad, State: Gujarat. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.6, Ahmedabad",Ahmedabad,Gujarat,LOCATION-025
CASE-093,Synthetic Case Record 093 — Criminal Intimidation — Jaipur,Criminal Intimidation,IPC 506,FIR-SYNTH-JAI-0093,2025-11-15,"Synthetic case record regarding criminal intimidation in fictional scenario 93. District: Jaipur, State: Rajasthan. For demonstration purposes only.",CLOSED,"Fictional PS No.5, Jaipur",Jaipur,Rajasthan,LOCATION-011
CASE-094,Synthetic Case Record 094 — Cybercrime — South Delhi,Cybercrime,IT Act 66C,FIR-SYNTH-SOU-0094,2024-07-06,"Synthetic case record regarding cybercrime in fictional scenario 94. District: South Delhi, State: Delhi. For demonstration purposes only.",CLOSED,"Fictional PS No.15, Delhi",South Delhi,Delhi,LOCATION-019
CASE-095,Synthetic Case Record 095 — Extortion — Kolkata,Extortion,IPC 384,FIR-SYNTH-KOL-0095,2023-07-29,"Synthetic case record regarding extortion in fictional scenario 95. District: Kolkata, State: West Bengal. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.9, Kolkata",Kolkata,West Bengal,LOCATION-001
CASE-096,Synthetic Case Record 096 — Forgery — Surat,Forgery,IPC 465,FIR-SYNTH-SUR-0096,2025-12-13,"Synthetic case record regarding forgery in fictional scenario 96. District: Surat, State: Gujarat. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.1, Surat",Surat,Gujarat,LOCATION-039
CASE-097,Synthetic Case Record 097 — Assault — Chennai,Assault,IPC 323,FIR-SYNTH-CHE-0097,2024-05-14,"Synthetic case record regarding assault in fictional scenario 97. District: Chennai, State: Tamil Nadu. For demonstration purposes only.",OPEN,"Fictional PS No.3, Chennai",Chennai,Tamil Nadu,LOCATION-039
CASE-098,Synthetic Case Record 098 — Criminal Intimidation — Surat,Criminal Intimidation,IPC 506,FIR-SYNTH-SUR-0098,2022-01-14,"Synthetic case record regarding criminal intimidation in fictional scenario 98. District: Surat, State: Gujarat. For demonstration purposes only.",CLOSED,"Fictional PS No.7, Surat",Surat,Gujarat,LOCATION-004
CASE-099,Synthetic Case Record 099 — Property Offence — North 24 Parganas,Property Offence,IPC 425,FIR-SYNTH-NOR-0099,2022-09-04,"Synthetic case record regarding property offence in fictional scenario 99. District: North 24 Parganas, State: West Bengal. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.19, Kolkata",North 24 Parganas,West Bengal,LOCATION-039
CASE-100,Synthetic Case Record 100 — Robbery — North 24 Parganas,Robbery,IPC 392,FIR-SYNTH-NOR-0100,2021-11-27,"Synthetic case record regarding robbery in fictional scenario 100. District: North 24 Parganas, State: West Bengal. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.14, Kolkata",North 24 Parganas,West Bengal,LOCATION-012
CASE-101,Synthetic Case Record 101 — Kidnapping — Surat,Kidnapping,IPC 363,FIR-SYNTH-SUR-0101,2023-01-08,"Synthetic case record regarding kidnapping in fictional scenario 101. District: Surat, State: Gujarat. For demonstration purposes only.",OPEN,"Fictional PS No.15, Surat",Surat,Gujarat,LOCATION-038
CASE-102,Synthetic Case Record 102 — Criminal Intimidation — Bengaluru Rural,Criminal Intimidation,IPC 506,FIR-SYNTH-BEN-0102,2025-09-24,"Synthetic case record regarding criminal intimidation in fictional scenario 102. District: Bengaluru Rural, State: Karnataka. For demonstration purposes only.",OPEN,"Fictional PS No.3, Bengaluru",Bengaluru Rural,Karnataka,LOCATION-028
CASE-103,Synthetic Case Record 103 — Criminal Intimidation — Bhopal,Criminal Intimidation,IPC 506,FIR-SYNTH-BHO-0103,2023-12-16,"Synthetic case record regarding criminal intimidation in fictional scenario 103. District: Bhopal, State: Madhya Pradesh. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.9, Bhopal",Bhopal,Madhya Pradesh,LOCATION-022
CASE-104,Synthetic Case Record 104 — Extortion — Mumbai City,Extortion,IPC 384,FIR-SYNTH-MUM-0104,2023-09-18,"Synthetic case record regarding extortion in fictional scenario 104. District: Mumbai City, State: Maharashtra. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.17, Mumbai",Mumbai City,Maharashtra,LOCATION-006
CASE-105,Synthetic Case Record 105 — Extortion — Jaipur,Extortion,IPC 384,FIR-SYNTH-JAI-0105,2024-06-12,"Synthetic case record regarding extortion in fictional scenario 105. District: Jaipur, State: Rajasthan. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.12, Jaipur",Jaipur,Rajasthan,LOCATION-009
CASE-106,Synthetic Case Record 106 — Fraud — Patna,Fraud,IPC 420,FIR-SYNTH-PAT-0106,2021-01-04,"Synthetic case record regarding fraud in fictional scenario 106. District: Patna, State: Bihar. For demonstration purposes only.",OPEN,"Fictional PS No.10, Patna",Patna,Bihar,LOCATION-013
CASE-107,Synthetic Case Record 107 — Molestation — Patna,Molestation,IPC 354,FIR-SYNTH-PAT-0107,2022-11-15,"Synthetic case record regarding molestation in fictional scenario 107. District: Patna, State: Bihar. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.14, Patna",Patna,Bihar,LOCATION-003
CASE-108,Synthetic Case Record 108 — Cybercrime — Pune,Cybercrime,IT Act 66C,FIR-SYNTH-PUN-0108,2025-06-07,"Synthetic case record regarding cybercrime in fictional scenario 108. District: Pune, State: Maharashtra. For demonstration purposes only.",OPEN,"Fictional PS No.10, Pune",Pune,Maharashtra,LOCATION-017
CASE-109,Synthetic Case Record 109 — Robbery — Kolkata,Robbery,IPC 392,FIR-SYNTH-KOL-0109,2023-03-23,"Synthetic case record regarding robbery in fictional scenario 109. District: Kolkata, State: West Bengal. For demonstration purposes only.",OPEN,"Fictional PS No.11, Kolkata",Kolkata,West Bengal,LOCATION-022
CASE-110,Synthetic Case Record 110 — Murder — Pune,Murder,IPC 302,FIR-SYNTH-PUN-0110,2023-08-30,"Synthetic case record regarding murder in fictional scenario 110. District: Pune, State: Maharashtra. For demonstration purposes only.",OPEN,"Fictional PS No.11, Pune",Pune,Maharashtra,LOCATION-031
CASE-111,Synthetic Case Record 111 — Criminal Intimidation — Hyderabad,Criminal Intimidation,IPC 506,FIR-SYNTH-HYD-0111,2023-08-06,"Synthetic case record regarding criminal intimidation in fictional scenario 111. District: Hyderabad, State: Telangana. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.18, Hyderabad",Hyderabad,Telangana,LOCATION-022
CASE-112,Synthetic Case Record 112 — Criminal Intimidation — North 24 Parganas,Criminal Intimidation,IPC 506,FIR-SYNTH-NOR-0112,2024-03-03,"Synthetic case record regarding criminal intimidation in fictional scenario 112. District: North 24 Parganas, State: West Bengal. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.17, Kolkata",North 24 Parganas,West Bengal,LOCATION-020
CASE-113,Synthetic Case Record 113 — Property Offence — Jaipur,Property Offence,IPC 425,FIR-SYNTH-JAI-0113,2021-05-16,"Synthetic case record regarding property offence in fictional scenario 113. District: Jaipur, State: Rajasthan. For demonstration purposes only.",CLOSED,"Fictional PS No.11, Jaipur",Jaipur,Rajasthan,LOCATION-023
CASE-114,Synthetic Case Record 114 — Property Offence — Bengaluru Rural,Property Offence,IPC 425,FIR-SYNTH-BEN-0114,2024-03-15,"Synthetic case record regarding property offence in fictional scenario 114. District: Bengaluru Rural, State: Karnataka. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.18, Bengaluru",Bengaluru Rural,Karnataka,LOCATION-011
CASE-115,Synthetic Case Record 115 — Cybercrime — South Delhi,Cybercrime,IT Act 66C,FIR-SYNTH-SOU-0115,2022-07-11,"Synthetic case record regarding cybercrime in fictional scenario 115. District: South Delhi, State: Delhi. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.11, Delhi",South Delhi,Delhi,LOCATION-003
CASE-116,Synthetic Case Record 116 — Criminal Intimidation — Hyderabad,Criminal Intimidation,IPC 506,FIR-SYNTH-HYD-0116,2023-12-12,"Synthetic case record regarding criminal intimidation in fictional scenario 116. District: Hyderabad, State: Telangana. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.10, Hyderabad",Hyderabad,Telangana,LOCATION-014
CASE-117,Synthetic Case Record 117 — Robbery — Pune,Robbery,IPC 392,FIR-SYNTH-PUN-0117,2021-02-21,"Synthetic case record regarding robbery in fictional scenario 117. District: Pune, State: Maharashtra. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.15, Pune",Pune,Maharashtra,LOCATION-033
CASE-118,Synthetic Case Record 118 — Fraud — Mumbai Suburban,Fraud,IPC 420,FIR-SYNTH-MUM-0118,2025-02-09,"Synthetic case record regarding fraud in fictional scenario 118. District: Mumbai Suburban, State: Maharashtra. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.11, Mumbai",Mumbai Suburban,Maharashtra,LOCATION-031
CASE-119,Synthetic Case Record 119 — Forgery — Mumbai Suburban,Forgery,IPC 465,FIR-SYNTH-MUM-0119,2024-10-17,"Synthetic case record regarding forgery in fictional scenario 119. District: Mumbai Suburban, State: Maharashtra. For demonstration purposes only.",CLOSED,"Fictional PS No.4, Mumbai",Mumbai Suburban,Maharashtra,LOCATION-034
CASE-120,Synthetic Case Record 120 — Cybercrime — Bengaluru Rural,Cybercrime,IT Act 66C,FIR-SYNTH-BEN-0120,2021-01-09,"Synthetic case record regarding cybercrime in fictional scenario 120. District: Bengaluru Rural, State: Karnataka. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.17, Bengaluru",Bengaluru Rural,Karnataka,LOCATION-008
CASE-121,Synthetic Case Record 121 — Criminal Intimidation — Kanpur Nagar,Criminal Intimidation,IPC 506,FIR-SYNTH-KAN-0121,2022-11-14,"Synthetic case record regarding criminal intimidation in fictional scenario 121. District: Kanpur Nagar, State: Uttar Pradesh. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.20, Kanpur",Kanpur Nagar,Uttar Pradesh,LOCATION-006
CASE-122,Synthetic Case Record 122 — Burglary — Mumbai City,Burglary,IPC 457,FIR-SYNTH-MUM-0122,2024-03-28,"Synthetic case record regarding burglary in fictional scenario 122. District: Mumbai City, State: Maharashtra. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.10, Mumbai",Mumbai City,Maharashtra,LOCATION-002
CASE-123,Synthetic Case Record 123 — Fraud — Pune,Fraud,IPC 420,FIR-SYNTH-PUN-0123,2023-12-27,"Synthetic case record regarding fraud in fictional scenario 123. District: Pune, State: Maharashtra. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.10, Pune",Pune,Maharashtra,LOCATION-018
CASE-124,Synthetic Case Record 124 — Robbery — Kanpur Nagar,Robbery,IPC 392,FIR-SYNTH-KAN-0124,2021-11-19,"Synthetic case record regarding robbery in fictional scenario 124. District: Kanpur Nagar, State: Uttar Pradesh. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.9, Kanpur",Kanpur Nagar,Uttar Pradesh,LOCATION-010
CASE-125,Synthetic Case Record 125 — Burglary — Pune,Burglary,IPC 457,FIR-SYNTH-PUN-0125,2022-10-15,"Synthetic case record regarding burglary in fictional scenario 125. District: Pune, State: Maharashtra. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.12, Pune",Pune,Maharashtra,LOCATION-036
CASE-126,Synthetic Case Record 126 — Robbery — Thane,Robbery,IPC 392,FIR-SYNTH-THA-0126,2022-11-25,"Synthetic case record regarding robbery in fictional scenario 126. District: Thane, State: Maharashtra. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.10, Thane",Thane,Maharashtra,LOCATION-040
CASE-127,Synthetic Case Record 127 — Theft — Kanpur Nagar,Theft,IPC 379,FIR-SYNTH-KAN-0127,2021-04-21,"Synthetic case record regarding theft in fictional scenario 127. District: Kanpur Nagar, State: Uttar Pradesh. For demonstration purposes only.",OPEN,"Fictional PS No.4, Kanpur",Kanpur Nagar,Uttar Pradesh,LOCATION-025
CASE-128,Synthetic Case Record 128 — Extortion — Patna,Extortion,IPC 384,FIR-SYNTH-PAT-0128,2022-12-30,"Synthetic case record regarding extortion in fictional scenario 128. District: Patna, State: Bihar. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.15, Patna",Patna,Bihar,LOCATION-040
CASE-129,Synthetic Case Record 129 — Property Offence — Nagpur,Property Offence,IPC 425,FIR-SYNTH-NAG-0129,2025-03-28,"Synthetic case record regarding property offence in fictional scenario 129. District: Nagpur, State: Maharashtra. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.18, Nagpur",Nagpur,Maharashtra,LOCATION-006
CASE-130,Synthetic Case Record 130 — Robbery — Hyderabad,Robbery,IPC 392,FIR-SYNTH-HYD-0130,2024-11-02,"Synthetic case record regarding robbery in fictional scenario 130. District: Hyderabad, State: Telangana. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.15, Hyderabad",Hyderabad,Telangana,LOCATION-020
CASE-131,Synthetic Case Record 131 — Attempted Murder — Patna,Attempted Murder,IPC 307,FIR-SYNTH-PAT-0131,2022-01-11,"Synthetic case record regarding attempted murder in fictional scenario 131. District: Patna, State: Bihar. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.12, Patna",Patna,Bihar,LOCATION-026
CASE-132,Synthetic Case Record 132 — Assault — East Delhi,Assault,IPC 323,FIR-SYNTH-EAS-0132,2021-05-14,"Synthetic case record regarding assault in fictional scenario 132. District: East Delhi, State: Delhi. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.16, Delhi",East Delhi,Delhi,LOCATION-002
CASE-133,Synthetic Case Record 133 — Forgery — South Delhi,Forgery,IPC 465,FIR-SYNTH-SOU-0133,2024-03-22,"Synthetic case record regarding forgery in fictional scenario 133. District: South Delhi, State: Delhi. For demonstration purposes only.",CLOSED,"Fictional PS No.12, Delhi",South Delhi,Delhi,LOCATION-039
CASE-134,Synthetic Case Record 134 — Burglary — East Delhi,Burglary,IPC 457,FIR-SYNTH-EAS-0134,2023-12-28,"Synthetic case record regarding burglary in fictional scenario 134. District: East Delhi, State: Delhi. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.3, Delhi",East Delhi,Delhi,LOCATION-020
CASE-135,Synthetic Case Record 135 — Burglary — Central Delhi,Burglary,IPC 457,FIR-SYNTH-CEN-0135,2023-02-26,"Synthetic case record regarding burglary in fictional scenario 135. District: Central Delhi, State: Delhi. For demonstration purposes only.",OPEN,"Fictional PS No.6, Delhi",Central Delhi,Delhi,LOCATION-031
CASE-136,Synthetic Case Record 136 — Forgery — Jaipur,Forgery,IPC 465,FIR-SYNTH-JAI-0136,2024-11-22,"Synthetic case record regarding forgery in fictional scenario 136. District: Jaipur, State: Rajasthan. For demonstration purposes only.",CLOSED,"Fictional PS No.11, Jaipur",Jaipur,Rajasthan,LOCATION-035
CASE-137,Synthetic Case Record 137 — Criminal Intimidation — Jaipur,Criminal Intimidation,IPC 506,FIR-SYNTH-JAI-0137,2024-04-27,"Synthetic case record regarding criminal intimidation in fictional scenario 137. District: Jaipur, State: Rajasthan. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.16, Jaipur",Jaipur,Rajasthan,LOCATION-008
CASE-138,Synthetic Case Record 138 — Attempted Murder — Thane,Attempted Murder,IPC 307,FIR-SYNTH-THA-0138,2024-05-10,"Synthetic case record regarding attempted murder in fictional scenario 138. District: Thane, State: Maharashtra. For demonstration purposes only.",OPEN,"Fictional PS No.13, Thane",Thane,Maharashtra,LOCATION-005
CASE-139,Synthetic Case Record 139 — Forgery — Patna,Forgery,IPC 465,FIR-SYNTH-PAT-0139,2023-10-10,"Synthetic case record regarding forgery in fictional scenario 139. District: Patna, State: Bihar. For demonstration purposes only.",OPEN,"Fictional PS No.13, Patna",Patna,Bihar,LOCATION-021
CASE-140,Synthetic Case Record 140 — Property Offence — Nagpur,Property Offence,IPC 425,FIR-SYNTH-NAG-0140,2024-09-15,"Synthetic case record regarding property offence in fictional scenario 140. District: Nagpur, State: Maharashtra. For demonstration purposes only.",CLOSED,"Fictional PS No.1, Nagpur",Nagpur,Maharashtra,LOCATION-010
CASE-141,Synthetic Case Record 141 — Assault — Jaipur,Assault,IPC 323,FIR-SYNTH-JAI-0141,2024-10-27,"Synthetic case record regarding assault in fictional scenario 141. District: Jaipur, State: Rajasthan. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.7, Jaipur",Jaipur,Rajasthan,LOCATION-014
CASE-142,Synthetic Case Record 142 — Robbery — Bengaluru Urban,Robbery,IPC 392,FIR-SYNTH-BEN-0142,2024-06-06,"Synthetic case record regarding robbery in fictional scenario 142. District: Bengaluru Urban, State: Karnataka. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.19, Bengaluru",Bengaluru Urban,Karnataka,LOCATION-001
CASE-143,Synthetic Case Record 143 — Theft — South Delhi,Theft,IPC 379,FIR-SYNTH-SOU-0143,2021-04-19,"Synthetic case record regarding theft in fictional scenario 143. District: South Delhi, State: Delhi. For demonstration purposes only.",OPEN,"Fictional PS No.12, Delhi",South Delhi,Delhi,LOCATION-036
CASE-144,Synthetic Case Record 144 — Robbery — Bengaluru Urban,Robbery,IPC 392,FIR-SYNTH-BEN-0144,2022-04-27,"Synthetic case record regarding robbery in fictional scenario 144. District: Bengaluru Urban, State: Karnataka. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.10, Bengaluru",Bengaluru Urban,Karnataka,LOCATION-002
CASE-145,Synthetic Case Record 145 — Property Offence — Bengaluru Rural,Property Offence,IPC 425,FIR-SYNTH-BEN-0145,2023-04-12,"Synthetic case record regarding property offence in fictional scenario 145. District: Bengaluru Rural, State: Karnataka. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.11, Bengaluru",Bengaluru Rural,Karnataka,LOCATION-025
CASE-146,Synthetic Case Record 146 — Assault — Thane,Assault,IPC 323,FIR-SYNTH-THA-0146,2024-02-12,"Synthetic case record regarding assault in fictional scenario 146. District: Thane, State: Maharashtra. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.5, Thane",Thane,Maharashtra,LOCATION-013
CASE-147,Synthetic Case Record 147 — Criminal Intimidation — Bengaluru Urban,Criminal Intimidation,IPC 506,FIR-SYNTH-BEN-0147,2022-08-14,"Synthetic case record regarding criminal intimidation in fictional scenario 147. District: Bengaluru Urban, State: Karnataka. For demonstration purposes only.",CLOSED,"Fictional PS No.14, Bengaluru",Bengaluru Urban,Karnataka,LOCATION-010
CASE-148,Synthetic Case Record 148 — Kidnapping — Kolkata,Kidnapping,IPC 363,FIR-SYNTH-KOL-0148,2021-10-06,"Synthetic case record regarding kidnapping in fictional scenario 148. District: Kolkata, State: West Bengal. For demonstration purposes only.",OPEN,"Fictional PS No.16, Kolkata",Kolkata,West Bengal,LOCATION-028
CASE-149,Synthetic Case Record 149 — Molestation — Patna,Molestation,IPC 354,FIR-SYNTH-PAT-0149,2023-07-20,"Synthetic case record regarding molestation in fictional scenario 149. District: Patna, State: Bihar. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.20, Patna",Patna,Bihar,LOCATION-012
CASE-150,Synthetic Case Record 150 — Kidnapping — Central Delhi,Kidnapping,IPC 363,FIR-SYNTH-CEN-0150,2021-01-16,"Synthetic case record regarding kidnapping in fictional scenario 150. District: Central Delhi, State: Delhi. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.14, Delhi",Central Delhi,Delhi,LOCATION-039
CASE-151,Synthetic Case Record 151 — Cybercrime — Central Delhi,Cybercrime,IT Act 66C,FIR-SYNTH-CEN-0151,2023-04-22,"Synthetic case record regarding cybercrime in fictional scenario 151. District: Central Delhi, State: Delhi. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.17, Delhi",Central Delhi,Delhi,LOCATION-018
CASE-152,Synthetic Case Record 152 — Cybercrime — Rangareddy,Cybercrime,IT Act 66C,FIR-SYNTH-RAN-0152,2024-04-03,"Synthetic case record regarding cybercrime in fictional scenario 152. District: Rangareddy, State: Telangana. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.12, Hyderabad",Rangareddy,Telangana,LOCATION-008
CASE-153,Synthetic Case Record 153 — Kidnapping — Howrah,Kidnapping,IPC 363,FIR-SYNTH-HOW-0153,2023-08-11,"Synthetic case record regarding kidnapping in fictional scenario 153. District: Howrah, State: West Bengal. For demonstration purposes only.",OPEN,"Fictional PS No.17, Howrah",Howrah,West Bengal,LOCATION-018
CASE-154,Synthetic Case Record 154 — Cybercrime — Lucknow,Cybercrime,IT Act 66C,FIR-SYNTH-LUC-0154,2025-06-23,"Synthetic case record regarding cybercrime in fictional scenario 154. District: Lucknow, State: Uttar Pradesh. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.3, Lucknow",Lucknow,Uttar Pradesh,LOCATION-035
CASE-155,Synthetic Case Record 155 — Assault — Kolkata,Assault,IPC 323,FIR-SYNTH-KOL-0155,2023-08-19,"Synthetic case record regarding assault in fictional scenario 155. District: Kolkata, State: West Bengal. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.15, Kolkata",Kolkata,West Bengal,LOCATION-033
CASE-156,Synthetic Case Record 156 — Cybercrime — North 24 Parganas,Cybercrime,IT Act 66C,FIR-SYNTH-NOR-0156,2025-01-28,"Synthetic case record regarding cybercrime in fictional scenario 156. District: North 24 Parganas, State: West Bengal. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.20, Kolkata",North 24 Parganas,West Bengal,LOCATION-020
CASE-157,Synthetic Case Record 157 — Theft — Jaipur,Theft,IPC 379,FIR-SYNTH-JAI-0157,2021-02-25,"Synthetic case record regarding theft in fictional scenario 157. District: Jaipur, State: Rajasthan. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.10, Jaipur",Jaipur,Rajasthan,LOCATION-040
CASE-158,Synthetic Case Record 158 — Criminal Intimidation — Howrah,Criminal Intimidation,IPC 506,FIR-SYNTH-HOW-0158,2021-09-29,"Synthetic case record regarding criminal intimidation in fictional scenario 158. District: Howrah, State: West Bengal. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.9, Howrah",Howrah,West Bengal,LOCATION-017
CASE-159,Synthetic Case Record 159 — Extortion — Mumbai City,Extortion,IPC 384,FIR-SYNTH-MUM-0159,2025-02-22,"Synthetic case record regarding extortion in fictional scenario 159. District: Mumbai City, State: Maharashtra. For demonstration purposes only.",CLOSED,"Fictional PS No.6, Mumbai",Mumbai City,Maharashtra,LOCATION-038
CASE-160,Synthetic Case Record 160 — Forgery — Bengaluru Urban,Forgery,IPC 465,FIR-SYNTH-BEN-0160,2025-05-22,"Synthetic case record regarding forgery in fictional scenario 160. District: Bengaluru Urban, State: Karnataka. For demonstration purposes only.",CLOSED,"Fictional PS No.6, Bengaluru",Bengaluru Urban,Karnataka,LOCATION-017
CASE-161,Synthetic Case Record 161 — Extortion — Mumbai Suburban,Extortion,IPC 384,FIR-SYNTH-MUM-0161,2025-03-22,"Synthetic case record regarding extortion in fictional scenario 161. District: Mumbai Suburban, State: Maharashtra. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.5, Mumbai",Mumbai Suburban,Maharashtra,LOCATION-032
CASE-162,Synthetic Case Record 162 — Property Offence — Central Delhi,Property Offence,IPC 425,FIR-SYNTH-CEN-0162,2022-03-08,"Synthetic case record regarding property offence in fictional scenario 162. District: Central Delhi, State: Delhi. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.15, Delhi",Central Delhi,Delhi,LOCATION-011
CASE-163,Synthetic Case Record 163 — Kidnapping — North 24 Parganas,Kidnapping,IPC 363,FIR-SYNTH-NOR-0163,2023-09-03,"Synthetic case record regarding kidnapping in fictional scenario 163. District: North 24 Parganas, State: West Bengal. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.15, Kolkata",North 24 Parganas,West Bengal,LOCATION-026
CASE-164,Synthetic Case Record 164 — Molestation — Bhopal,Molestation,IPC 354,FIR-SYNTH-BHO-0164,2021-10-25,"Synthetic case record regarding molestation in fictional scenario 164. District: Bhopal, State: Madhya Pradesh. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.16, Bhopal",Bhopal,Madhya Pradesh,LOCATION-017
CASE-165,Synthetic Case Record 165 — Burglary — East Delhi,Burglary,IPC 457,FIR-SYNTH-EAS-0165,2023-12-25,"Synthetic case record regarding burglary in fictional scenario 165. District: East Delhi, State: Delhi. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.2, Delhi",East Delhi,Delhi,LOCATION-007
CASE-166,Synthetic Case Record 166 — Extortion — Chennai,Extortion,IPC 384,FIR-SYNTH-CHE-0166,2022-07-08,"Synthetic case record regarding extortion in fictional scenario 166. District: Chennai, State: Tamil Nadu. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.9, Chennai",Chennai,Tamil Nadu,LOCATION-022
